<>	1	2	3	4	5	6	7	8	9	10	11	12	
C	0.25686	0.23314	0.2472	0.24268	0.23422	0.24584	0.2433	0.2394	0.24102	0.24876	0.26012	0.24754	
D	0.2565	0.24826	0.24988	0.24824	0.23692	0.25372	0.24076	0.24046	0.24134	0.23324	0.24818	0.2515	
E	0.13388	0.13966	0.13894	0.15976	0.14022	0.13526	0.13686	0.13928	0.13576	0.12936	0.13994	0.13542	
F	0.1326	0.12838	0.13344	0.15466	0.13684	0.1968	0.13846	0.147	0.13292	0.1306	0.13586	0.1418	
G	0.13592	0.13334	0.13596	0.1462	0.13162	0.13588	0.13922	0.1423	0.13742	0.1293	0.14426	0.13728	
H	0.13688	0.13388	0.13434	0.22116	0.17968	0.19588	0.19876	0.20758	0.19724	0.18368	0.13148	0.1268	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2573	0.25252	0.25932	0.24448	0.26236	0.23806	0.27202	0.24174	0.24	0.23184	0.24736	0.26066	
B	0.28808	0.24038	0.2425	0.24316	0.2344	0.22084	0.25302	0.23384	0.23204	0.2406	0.2418	0.25042	
C	0.25838	0.23438	0.25034	0.24406	0.23592	0.24228	0.2483	0.24324	0.2439	0.24944	0.26358	0.25224	
D	0.25932	0.24926	0.25712	0.25088	0.2401	0.2558	0.24874	0.24434	0.24396	0.2337	0.25234	0.25628	
E	0.13528	0.13848	0.14418	0.16542	0.1413	0.13534	0.13952	0.13942	0.13892	0.12934	0.14724	0.13906	
F	0.13308	0.12882	0.13694	0.16384	0.13826	0.19838	0.14334	0.14846	0.13902	0.13162	0.1399	0.14566	
G	0.13688	0.1329	0.1379	0.14688	0.13228	0.1365	0.1427	0.14272	0.13976	0.12964	0.151	0.1417	
H	0.13848	0.1353	0.137	0.22562	0.17964	0.19502	0.20438	0.20924	0.1994	0.1839	0.13716	0.13132	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2584	0.25472	0.26492	0.2458	0.26376	0.2398	0.28368	0.24412	0.24352	0.23248	0.25152	0.2681	
B	0.2878	0.24316	0.24652	0.2456	0.23622	0.22334	0.26344	0.23556	0.23596	0.24384	0.2481	0.26162	
C	0.2594	0.23376	0.25098	0.2432	0.23658	0.23956	0.25356	0.24268	0.24518	0.24894	0.26498	0.25664	
D	0.25966	0.2506	0.2608	0.2506	0.23942	0.2563	0.25536	0.2459	0.24648	0.2351	0.255	0.25938	
E	0.13594	0.13928	0.15072	0.1733	0.14352	0.13596	0.14344	0.14084	0.14356	0.1298	0.15246	0.14764	
F	0.13414	0.12956	0.14232	0.17178	0.14082	0.19948	0.14824	0.14942	0.14426	0.13266	0.14668	0.15336	
G	0.1376	0.1331	0.14042	0.14882	0.13404	0.13782	0.1469	0.1443	0.14544	0.13138	0.15948	0.15174	
H	0.1396	0.13728	0.14054	0.23074	0.18116	0.196	0.20736	0.21176	0.2039	0.18556	0.14514	0.1389	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2591	0.25826	0.27452	0.24286	0.26268	0.242	0.30502	0.24648	0.2471	0.23382	0.25584	0.27868	
