Raw data																																															Well positions	
0s	1800s	3600s	5400s	7200s	9000s	10800s	12600s	14400s	16200s	18000s	19800s	21600s	23400s	25200s	27000s	28800s	30600s	32400s	34200s	36000s	37800s	39600s	41400s	43200s	45000s	46800s	48600s	50400s	52200s	54000s	55800s	57599s	59400s	61199s	62999s	64799s	66599s	68399s	70199s	71999s	73799s	75599s	77399s	79199s	80999s	82799s		
30.0 °C	30.1 °C	30.2 °C	30.2 °C	30.2 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.1 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.1 °C	30.0 °C	29.9 °C	30.1 °C	30.1 °C	30.0 °C	30.2 °C	30.4 °C	30.2 °C	30.1 °C	30.1 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.0 °C	30.2 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.4 °C	30.1 °C	30.2 °C	30.1 °C	30.1 °C		
0.29772	0.29382	0.29234	0.29482	0.29212	0.2925	0.28956	0.29202	0.29126	0.29028	0.29034	0.29068	0.28934	0.29	0.29156	0.28968	0.29108	0.289	0.2907	0.28842	0.28934	0.28848	0.28944	0.29006	0.28826	0.28868	0.28664	0.286	0.28634	0.2882	0.28712	0.28762	0.2856	0.28402	0.28452	0.28322	0.2836	0.28242	0.28184	0.28212	0.28182	0.28172	0.28322	0.2808	0.28132	0.28072	0.28222	B10	
0.27308	0.26672	0.26768	0.2681	0.266	0.2666	0.26634	0.26614	0.26582	0.265	0.26504	0.26534	0.26614	0.26538	0.26464	0.26604	0.26634	0.26428	0.26602	0.26478	0.26636	0.26496	0.2654	0.26564	0.26448	0.26406	0.26346	0.26286	0.26534	0.2645	0.26296	0.26392	0.26436	0.26304	0.26244	0.26452	0.26332	0.263	0.26324	0.26064	0.26132	0.2606	0.26132	0.26226	0.26216	0.26286	0.2619	B11	
0.26818	0.26574	0.26506	0.26566	0.2651	0.26444	0.26338	0.26208	0.26214	0.26244	0.26282	0.26436	0.2642	0.26518	0.26674	0.26672	0.27128	0.27154	0.27486	0.2783	0.28508	0.28952	0.29812	0.30796	0.32484	0.35612	0.38508	0.42462	0.45908	0.48684	0.52306	0.55938	0.58766	0.62822	0.65028	0.61296	0.62116	0.61358	0.6296	0.634	0.64794	0.65618	0.67216	0.68086	0.70344	0.72708	0.73476	B12	
0.25504	0.25486	0.25392	0.2557	0.25402	0.25434	0.25314	0.25332	0.25282	0.25254	0.25188	0.25324	0.2517	0.24974	0.25256	0.25132	0.24996	0.25112	0.2504	0.25128	0.24998	0.24906	0.24976	0.2529	0.25002	0.24908	0.24946	0.24798	0.25136	0.24816	0.24918	0.24764	0.24644	0.24276	0.24178	0.24052	0.2405	0.23998	0.23816	0.23582	0.23728	0.23716	0.23656	0.23496	0.23526	0.23614	0.23368	C1	
0.24056	0.24078	0.24068	0.23974	0.23992	0.23882	0.23952	0.2401	0.2394	0.23676	0.23596	0.23776	0.23738	0.2382	0.23966	0.237	0.23808	0.2383	0.24104	0.24302	0.24348	0.24644	0.24932	0.25828	0.2569	0.26654	0.27226	0.27708	0.28688	0.30406	0.34258	0.37016	0.37094	0.41644	0.44922	0.49122	0.52506	0.56288	0.60166	0.63236	0.65498	0.6811	0.70026	0.71632	0.7337	0.74244	0.74274	C2	
0.26104	0.2603	0.26138	0.25962	0.2584	0.2585	0.25734	0.25802	0.25918	0.2577	0.25638	0.25964	0.26274	0.26326	0.26762	0.2675	0.27536	0.28464	0.29652	0.30988	0.3243	0.34226	0.36094	0.383	0.41506	0.44178	0.45478	0.46258	0.47752	0.49378	0.51656	0.54808	0.57342	0.6049	0.6317	0.65472	0.66912	0.67742	0.69528	0.70366	0.71388	0.7233	0.73702	0.74256	0.75468	0.76842	0.76968	C3	
0.27566	0.27256	0.27218	0.27328	0.27184	0.27164	0.27256	0.27086	0.27198	0.27042	0.26944	0.2722	0.27124	0.27246	0.27178	0.27446	0.27644	0.27612	0.28262	0.2846	0.28724	0.28672	0.28858	0.28992	0.29222	0.2964	0.29766	0.30794	0.33984	0.3379	0.3547	0.37812	0.4289	0.47494	0.51696	0.54828	0.57566	0.5949	0.61676	0.63876	0.66028	0.6854	0.69732	0.70824	0.73136	0.74786	0.75786	C4	
0.2803	0.2779	0.27784	0.27802	0.2757	0.27586	0.27628	0.27654	0.27766	0.27406	0.27236	0.2759	0.27692	0.27466	0.27892	0.27966	0.28122	0.28542	0.2891	0.29538	0.29926	0.3117	0.32474	0.33798	0.35092	0.3703	0.39376	0.41482	0.43222	0.43976	0.45252	0.46924	0.48358	0.4952	0.51046	0.52454	0.5363	0.54466	0.54012	0.55788	0.56888	0.58958	0.6041	0.60288	0.629	0.63702	0.6305	C5	
0.28026	0.2774	0.27738	0.27762	0.2763	0.27498	0.27584	0.27662	0.27542	0.27382	0.27232	0.27442	0.27444	0.27348	0.27622	0.2738	0.27692	0.27476	0.2783	0.28224	0.2864	0.28538	0.28678	0.2932	0.29744	0.3026	0.30892	0.32102	0.3238	0.3466	0.34156	0.37402	0.39698	0.42672	0.4522	0.49174	0.53004	0.57196	0.59328	0.6312	0.64626	0.6594	0.68456	0.70568	0.7323	0.7565	0.77636	C6	
0.27708	0.27718	0.27746	0.27724	0.2764	0.27638	0.2775	0.27692	0.27736	0.27652	0.2766	0.28222	0.2825	0.28606	0.28764	0.29148	0.29928	0.30684	0.3177	0.33312	0.35256	0.36666	0.39238	0.4215	0.44394	0.46546	0.48048	0.49456	0.50626	0.52016	0.5336	0.54858	0.56268	0.57534	0.5883	0.6033	0.62136	0.63926	0.6655	0.6896	0.70642	0.72316	0.73418	0.74844	0.76758	0.77952	0.78374	C7	
0.27482	0.27456	0.275	0.2748	0.27512	0.2733	0.27416	0.27302	0.27286	0.27388	0.27358	0.27448	0.27532	0.27286	0.2752	0.27444	0.27682	0.2774	0.27864	0.28028	0.28388	0.28358	0.2866	0.29364	0.29598	0.30036	0.30154	0.30592	0.31218	0.32078	0.3278	0.3272	0.33742	0.3438	0.35182	0.36122	0.37134	0.37492	0.38002	0.38326	0.3847	0.38744	0.389	0.39266	0.39702	0.40044	0.39834	C8	
0.26162	0.2622	0.26158	0.26208	0.26162	0.2604	0.25998	0.26152	0.25978	0.25992	0.25944	0.25968	0.26024	0.26002	0.25896	0.25726	0.25778	0.25826	0.25732	0.2568	0.2565	0.25494	0.25648	0.25628	0.2576	0.25464	0.25494	0.25378	0.254	0.25444	0.25626	0.25524	0.25472	0.2522	0.25336	0.25374	0.25256	0.25244	0.2524	0.25164	0.25224	0.25348	0.25148	0.25264	0.25266	0.25402	0.25236	C9	
0.3061	0.3044	0.30256	0.30258	0.30326	0.30292	0.30326	0.30398	0.29998	0.3002	0.30038	0.30012	0.30002	0.30174	0.29878	0.29642	0.29722	0.2982	0.29788	0.2962	0.29542	0.29514	0.2964	0.29586	0.29456	0.2966	0.29516	0.29376	0.29404	0.29552	0.29522	0.29396	0.29336	0.29314	0.29412	0.29096	0.28968	0.2895	0.29074	0.29032	0.29162	0.29044	0.28794	0.28614	0.28768	0.28802	0.28766	C10	
0.29448	0.29282	0.29112	0.28984	0.28976	0.28856	0.28926	0.28916	0.28838	0.2879	0.28814	0.28804	0.28752	0.28946	0.28564	0.2842	0.2855	0.28532	0.2853	0.28368	0.2841	0.28334	0.28502	0.28368	0.28336	0.28542	0.2827	0.2805	0.28022	0.28158	0.2805	0.2815	0.27992	0.28088	0.28034	0.2796	0.27824	0.27746	0.27852	0.27836	0.27726	0.27732	0.27518	0.27624	0.27606	0.2765	0.27594	C11	
0.30114	0.29926	0.29688	0.29638	0.29748	0.29672	0.29736	0.29418	0.2936	0.29226	0.2926	0.29234	0.29348	0.2933	0.2936	0.29438	0.29892	0.30174	0.30426	0.31122	0.3157	0.32832	0.34336	0.3554	0.37288	0.40086	0.42912	0.46144	0.48956	0.50398	0.51038	0.52192	0.53474	0.54696	0.55736	0.56466	0.57032	0.5743	0.57596	0.57948	0.58556	0.59078	0.59726	0.60038	0.6164	0.6307	0.63056	C12	
0.23996	0.24194	0.24112	0.24088	0.24172	0.24076	0.2409	0.24182	0.23992	0.23914	0.23974	0.2398	0.23962	0.23866	0.23864	0.23856	0.23976	0.23874	0.23788	0.23902	0.23806	0.23862	0.23736	0.2379	0.23732	0.23682	0.2382	0.23744	0.23696	0.23874	0.23898	0.23814	0.23762	0.23302	0.23238	0.23202	0.22934	0.23	0.22684	0.2287	0.22762	0.22754	0.22644	0.22558	0.22572	0.2259		D1	
0.26838	0.27026	0.26884	0.26918	0.26884	0.26776	0.26842	0.26922	0.2664	0.268	0.2655	0.26472	0.26674	0.2658	0.26564	0.26626	0.26846	0.26682	0.2683	0.26916	0.27292	0.27652	0.27746	0.28204	0.29506	0.29788	0.30958	0.3167	0.33474	0.35834	0.39118	0.41306	0.43374	0.45532	0.49634	0.54004	0.57994	0.61648	0.64814	0.6785	0.7009	0.72616	0.73558	0.74302	0.75086	0.76644		D2	
0.26236	0.26362	0.26414	0.26278	0.26312	0.26162	0.26354	0.26292	0.2636	0.26564	0.26416	0.26462	0.26868	0.26972	0.27128	0.27492	0.28608	0.29958	0.30814	0.31822	0.33512	0.35454	0.37862	0.40366	0.423	0.4468	0.45748	0.47308	0.49432	0.53376	0.5747	0.6115	0.64384	0.6653	0.67878	0.69556	0.70664	0.71044	0.7246	0.7328	0.74288	0.75372	0.761	0.76782	0.77466	0.7833		D3	
0.26436	0.26576	0.26334	0.26168	0.26234	0.26154	0.26292	0.26184	0.26094	0.26144	0.26182	0.2614	0.2613	0.26062	0.26092	0.25874	0.26288	0.25944	0.26026	0.26186	0.26168	0.2633	0.2626	0.26466	0.2655	0.26702	0.27032	0.2719	0.27372	0.27656	0.27646	0.27734	0.28866	0.27472	0.28944	0.31484	0.33212	0.3476	0.36754	0.40216	0.45152	0.5028	0.53098	0.56616	0.59114	0.61144	0.63448	D4	
0.29602	0.29606	0.2921	0.29362	0.29428	0.29424	0.29462	0.29416	0.29332	0.29294	0.29434	0.29268	0.29308	0.29244	0.29514	0.29528	0.30038	0.3008	0.30376	0.31032	0.31552	0.32982	0.34142	0.3467	0.3596	0.37948	0.40226	0.428	0.45116	0.47022	0.48404	0.4973	0.50014	0.5109	0.51932	0.53668	0.55026	0.55864	0.55322	0.56352	0.59216	0.61974	0.63296	0.63488	0.6478	0.64748	0.64632	D5	
