<>	1	2	3	4	5	6	7	8	9	10	11	12	
E	0.40354	0.39134	0.3901	0.41466	0.40114	0.41822	0.43792	0.40262	0.39836	0.39532	0.39998	0.40488	
F	0.368	0.35368	0.39878	0.39682	0.42686	0.36132	0.44592	0.3887	0.37802	0.39668	0.38288	0.41828	
G	0.3304	0.39406	0.40564	0.37898	0.3948	0.3888	0.38928	0.35308	0.37612	0.37166	0.35322	0.38824	
H	0.35754	0.35544	0.38522	0.33646	0.31332	0.38078	0.37552	0.3234	0.36328	0.3776	0.35262	0.37612	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40082	0.3989	0.41044	0.41758	0.4149	0.33952	0.45226	0.39868	0.40852	0.4046	0.3866	0.40756	
B	0.39888	0.41482	0.41846	0.42576	0.39028	0.41008	0.4463	0.3986	0.4136	0.39014	0.39818	0.37954	
C	0.43822	0.43154	0.40072	0.40126	0.4325	0.3724	0.42288	0.41106	0.39606	0.40058	0.39358	0.42232	
D	0.38324	0.35036	0.41556	0.3965	0.40168	0.35628	0.45068	0.4248	0.41834	0.38322	0.38974	0.39066	
E	0.40588	0.39258	0.39208	0.41648	0.40382	0.3995	0.44042	0.40918	0.40386	0.3991	0.40102	0.41126	
F	0.3702	0.35596	0.3976	0.3965	0.42814	0.36052	0.44998	0.38354	0.3795	0.39656	0.3825	0.41718	
G	0.3335	0.39666	0.40618	0.38094	0.39472	0.38192	0.38964	0.35244	0.37818	0.36804	0.35288	0.38708	
H	0.35678	0.35798	0.38924	0.33924	0.37544	0.37978	0.37938	0.32402	0.36776	0.37646	0.35388	0.3734	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40126	0.40002	0.41126	0.42442	0.41174	0.40952	0.45174	0.39762	0.4107	0.40938	0.38934	0.4091	
B	0.40136	0.41512	0.4197	0.4321	0.36048	0.41256	0.44378	0.398	0.4155	0.39396	0.39958	0.38102	
C	0.43792	0.43062	0.40092	0.40352	0.44832	0.37448	0.42066	0.41246	0.39914	0.40274	0.39228	0.42276	
D	0.44236	0.37158	0.41384	0.39654	0.40074	0.4271	0.44836	0.4251	0.41528	0.38652	0.38718	0.39368	
E	0.41194	0.40094	0.39582	0.42122	0.40992	0.40082	0.44598	0.41862	0.4086	0.41788	0.40732	0.41848	
F	0.37228	0.36054	0.4025	0.40036	0.4321	0.36362	0.45038	0.38958	0.38544	0.40614	0.3866	0.42196	
G	0.40468	0.39864	0.40868	0.3836	0.39526	0.38996	0.393	0.35814	0.3811	0.37404	0.35838	0.39058	
H	0.36034	0.3621	0.38926	0.344	0.31294	0.36966	0.37552	0.32546	0.36752	0.38186	0.3531	0.3762	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.4035	0.39912	0.4115	0.4247	0.41486	0.35162	0.45438	0.3993	0.40926	0.40622	0.3878	0.40758	
B	0.40294	0.41562	0.42076	0.41892	0.39278	0.40914	0.44596	0.39824	0.41526	0.39532	0.40122	0.37788	
C	0.39972	0.43202	0.40384	0.40528	0.38824	0.41462	0.42454	0.414	0.40036	0.40672	0.39622	0.42436	
D	0.38538	0.41006	0.41614	0.39724	0.40474	0.42662	0.45242	0.42546	0.41768	0.3878	0.38734	0.3927	
E	0.41188	0.40196	0.39586	0.42104	0.41306	0.4211	0.45178	0.42444	0.4192	0.41682	0.41116	0.42296	
F	0.37968	0.3657	0.41026	0.4037	0.43654	0.37924	0.45962	0.38846	0.39382	0.40986	0.39276	0.42482	
G	0.33946	0.40028	0.41318	0.38676	0.4012	0.38694	0.396	0.35952	0.38142	0.37638	0.35784	0.38988	
H	0.35948	0.36444	0.39484	0.34326	0.3797	0.37676	0.37662	0.32646	0.37212	0.37994	0.3569	0.37786	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40636	0.40142	0.41372	0.41376	0.41456	0.4026	0.45432	0.39988	0.41034	0.40766	0.39064	0.41066	
B	0.40682	0.41974	0.42358	0.4063	0.39094	0.4131	0.4503	0.40204	0.41834	0.40306	0.40366	0.37846	
C	0.43934	0.3815	0.40362	0.40668	0.46656	0.37648	0.42296	0.4115	0.39968	0.40688	0.39592	0.42448	
D	0.47496	0.41184	0.4166	0.39848	0.40482	0.41976	0.4515	0.42938	0.4182	0.39466	0.39124	0.3946	
E	0.41604	0.4097	0.40234	0.42726	0.41996	0.40266	0.4599	0.43212	0.42786	0.43288	0.41976	0.4326	
F	0.38538	0.37426	0.41508	0.40476	0.4359	0.36914	0.464	0.3966	0.39632	0.41938	0.39366	0.42746	
G	0.33972	0.404	0.41522	0.3861	0.40064	0.39064	0.39708	0.364	0.38468	0.37976	0.36058	0.3933	
H	0.3663	0.37006	0.3992	0.34796	0.38302	0.38432	0.38316	0.33484	0.37514	0.38848	0.35926	0.38356	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40706	0.40224	0.41432	0.42514	0.4165	0.41728	0.4576	0.39926	0.41004	0.40868	0.39114	0.41096	
B	0.4112	0.42152	0.42186	0.41508	0.39384	0.41598	0.45404	0.40336	0.42436	0.41406	0.4078	0.3848	
C	0.44432	0.43738	0.40518	0.40958	0.3911	0.4153	0.4225	0.41482	0.40262	0.40978	0.39608	0.426	
D	0.4812	0.41466	0.41788	0.3974	0.40586	0.4268	0.45052	0.42876	0.41792	0.40216	0.39484	0.39876	
E	0.42546	0.4209	0.41204	0.4344	0.42872	0.39896	0.4685	0.4495	0.44018	0.4465	0.43206	0.44366	
F	0.38964	0.38608	0.42316	0.41276	0.4451	0.36656	0.47124	0.40136	0.4031	0.44334	0.3983	0.43626	
G	0.45372	0.40958	0.4178	0.38862	0.40434	0.39276	0.39998	0.37124	0.39134	0.38542	0.36556	0.39934	
H	0.37128	0.37912	0.40696	0.35104	0.38504	0.3632	0.38736	0.33906	0.38058	0.39158	0.36152	0.38678	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.40904	0.40166	0.41372	0.42724	0.39812	0.39184	0.45656	0.3999	0.41096	0.4094	0.38994	0.41204	
B	0.4149	0.42294	0.42636	0.42218	0.37512	0.41884	0.45844	0.40532	0.42578	0.41564	0.41078	0.3838	
C	0.44572	0.42072	0.40724	0.40974	0.39354	0.39518	0.42722	0.41616	0.40496	0.41514	0.3996	0.4271	
D	0.39426	0.38876	0.42144	0.3999	0.40816	0.3614	0.45164	0.43346	0.41976	0.40914	0.40078	0.39654	
E	0.43108	0.42746	0.42066	0.44022	0.43394	0.4144	0.48346	0.45086	0.44596	0.46208	0.44226	0.45486	
F	0.39718	0.3912	0.435	0.41894	0.45164	0.39524	0.47918	0.40702	0.414	0.46076	0.40312	0.44734	
G	0.45694	0.40992	0.42176	0.39034	0.40556	0.39322	0.40412	0.37398	0.3966	0.38944	0.37162	0.3982	
H	0.37774	0.38768	0.41386	0.35658	0.3888	0.38554	0.39406	0.33988	0.38264	0.4013	0.3689	0.39108	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.41282	0.39832	0.4157	0.42546	0.40738	0.33718	0.45886	0.40164	0.41262	0.41506	0.39178	0.41226	
B	0.42122	0.4255	0.43108	0.45142	0.40064	0.419	0.46198	0.4116	0.4298	0.42266	0.41416	0.38672	
C	0.41168	0.4391	0.40912	0.41338	0.39704	0.38534	0.42808	0.41892	0.4094	0.41662	0.40156	0.4297	
D	0.48938	0.40032	0.4259	0.40108	0.41464	0.36178	0.4544	0.4363	0.42256	0.41512	0.4083	0.40928	
E	0.4401	0.43876	0.4262	0.44542	0.44588	0.42402	0.49496	0.46242	0.4586	0.4805	0.45002	0.46858	
F	0.41056	0.40944	0.44624	0.42434	0.458	0.3468	0.49054	0.40916	0.43282	0.47662	0.41496	0.46112	
G	0.45754	0.41812	0.42812	0.39582	0.41524	0.4013	0.41354	0.38648	0.4069	0.40094	0.37682	0.40648	
H	0.38614	0.39768	0.4238	0.36266	0.39628	0.3731	0.40262	0.35056	0.40258	0.40788	0.37748	0.40004	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.41892	0.36826	0.4185	0.43378	0.42514	0.34486	0.46428	0.4051	0.41396	0.41912	0.39474	0.41268	
B	0.43054	0.43024	0.43346	0.43218	0.41112	0.42268	0.4687	0.4158	0.43918	0.43096	0.42694	0.38888	
C	0.45752	0.41404	0.41228	0.41638	0.39742	0.38566	0.42902	0.41986	0.40988	0.41926	0.40222	0.43308	
D	0.49404	0.3835	0.4255	0.40184	0.41614	0.42394	0.45678	0.44398	0.42742	0.4247	0.41442	0.40972	
E	0.454	0.45746	0.43908	0.4579	0.46522	0.45952	0.51202	0.47516	0.46966	0.49922	0.46444	0.48694	
F	0.42072	0.4241	0.46204	0.43594	0.46948	0.35406	0.50642	0.42432	0.44974	0.49984	0.43634	0.47292	
G	0.46444	0.42668	0.43264	0.40376	0.4196	0.40774	0.42158	0.39442	0.42064	0.41442	0.38536	0.41042	
H	0.39708	0.41148	0.43716	0.3702	0.34786	0.39446	0.41252	0.35526	0.4157	0.41992	0.39162	0.41112	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.4227	0.40104	0.4164	0.4373	0.42904	0.39316	0.46704	0.40994	0.41278	0.42254	0.39314	0.41386	
