<>	1	2	3	4	5	6	7	8	9	10	11	12	
B	0.23712	0.26768	0.2795	0.25344	0.2665	0.25674	0.26628	0.28764	0.2612	0.29156	0.26464	0.26674	
C	0.25256	0.23966	0.26762	0.27178	0.27892	0.27622	0.28764	0.2752	0.25896	0.29878	0.28564	0.2936	
D	0.23864	0.26564	0.27128	0.26092	0.29514	0.26656	0.29318	0.27514	0.26458	0.30056	0.28786	0.29494	
E	0.26164	0.25572	0.30304	0.27612	0.29392	0.2806	0.31352	0.29384	0.29538	0.29536	0.30852	0.32872	
F	0.27434	0.26984	0.28592	0.26754	0.2909	0.28716	0.3205	0.2693	0.2797	0.27054	0.30586	0.30892	
G	0.27098	0.2601	0.3021	0.279	0.29768	0.25644	0.33002	0.26792	0.30674	0.31008	0.29886	0.30178	
H	0.27908	0.2912	0.31044	0.26086	0.31034	0.28238	0.30534	0.30002	0.27932	0.2763	0.2937	0.2933	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23482	0.24446	0.26506	0.2648	0.26512	0.28172	0.27166	0.26232	0.27168	0.27068	0.27642	0.28586	
B	0.23638	0.26758	0.28506	0.25388	0.2721	0.25722	0.2728	0.28666	0.26154	0.28968	0.26604	0.26672	
C	0.25132	0.237	0.2675	0.27446	0.27966	0.2738	0.29148	0.27444	0.25726	0.29642	0.2842	0.29438	
D	0.23856	0.26626	0.27492	0.25874	0.29528	0.2673	0.29886	0.2761	0.26426	0.29746	0.28646	0.29578	
E	0.26512	0.26044	0.32162	0.27606	0.30294	0.286	0.32894	0.2974	0.3048	0.29476	0.31472	0.3453	
F	0.27652	0.27664	0.30242	0.26874	0.29942	0.28938	0.33764	0.26992	0.2812	0.26864	0.31166	0.3219	
G	0.27448	0.26462	0.32106	0.27668	0.30482	0.25886	0.34692	0.27114	0.31428	0.31302	0.30466	0.31316	
H	0.28052	0.29432	0.3328	0.26004	0.31926	0.28472	0.31986	0.30396	0.28588	0.27546	0.29834	0.30536	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2352	0.24246	0.27362	0.26488	0.26712	0.28242	0.27642	0.26404	0.2705	0.27032	0.2766	0.29064	
B	0.23662	0.26832	0.29286	0.25914	0.27726	0.25994	0.2844	0.28942	0.26114	0.29108	0.26634	0.27128	
C	0.24996	0.23808	0.27536	0.27644	0.28122	0.27692	0.29928	0.27682	0.25778	0.29722	0.2855	0.29892	
D	0.23976	0.26846	0.28608	0.26288	0.30038	0.26982	0.30786	0.27772	0.26704	0.30128	0.29052	0.30044	
E	0.2762	0.2719	0.35302	0.2833	0.31798	0.29178	0.36038	0.30394	0.31296	0.29724	0.32112	0.366	
F	0.2822	0.28942	0.32482	0.2679	0.3145	0.29712	0.36884	0.27706	0.28938	0.27202	0.31368	0.34088	
G	0.283	0.2783	0.34822	0.28208	0.32076	0.26636	0.37832	0.27832	0.32182	0.31386	0.31248	0.3348	
H	0.28768	0.30054	0.3582	0.2615	0.3338	0.29512	0.34592	0.30928	0.29526	0.27914	0.30276	0.32296	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.236	0.24364	0.28318	0.2735	0.272	0.2861	0.28508	0.26624	0.27024	0.27166	0.27726	0.29076	
B	0.23636	0.2726	0.30914	0.26078	0.28434	0.26706	0.29326	0.28962	0.2609	0.289	0.26428	0.27154	
C	0.25112	0.2383	0.28464	0.27612	0.28542	0.27476	0.30684	0.2774	0.25826	0.2982	0.28532	0.30174	
D	0.23874	0.26682	0.29958	0.25944	0.3008	0.26766	0.31418	0.27668	0.26546	0.29814	0.28582	0.30222	
E	0.28438	0.28182	0.37742	0.28634	0.34014	0.30524	0.39988	0.30606	0.3207	0.298	0.3303	0.38956	
F	0.29198	0.29982	0.35434	0.26884	0.32866	0.30828	0.40284	0.2828	0.2989	0.2738	0.32364	0.36172	
G	0.28616	0.29304	0.37854	0.28462	0.33632	0.27652	0.41648	0.28424	0.3295	0.3134	0.31964	0.35562	
H	0.29466	0.32028	0.3857	0.2648	0.34972	0.30524	0.38408	0.3155	0.30108	0.27966	0.31222	0.34364	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23302	0.24194	0.29378	0.27368	0.27424	0.28732	0.29356	0.26492	0.26976	0.27022	0.2756	0.29328	
B	0.23514	0.27412	0.3174	0.26456	0.29132	0.27016	0.30566	0.2924	0.26126	0.2907	0.26602	0.27486	
C	0.2504	0.24104	0.29652	0.28262	0.2891	0.2783	0.3177	0.27864	0.25732	0.29788	0.2853	0.30426	
D	0.23788	0.2683	0.30814	0.26026	0.30376	0.27014	0.32396	0.27946	0.26476	0.29698	0.28608	0.3049	
E	0.29814	0.2948	0.40256	0.29008	0.35928	0.31674	0.42828	0.31602	0.33452	0.30352	0.3388	0.42662	
F	0.30158	0.32194	0.3794	0.27028	0.34742	0.31896	0.43694	0.28768	0.30786	0.27642	0.33304	0.39234	
G	0.2978	0.30326	0.40128	0.2885	0.35796	0.28446	0.44404	0.28812	0.34268	0.31748	0.33056	0.39008	
H	0.3036	0.3373	0.40784	0.2727	0.372	0.31838	0.41458	0.31998	0.3147	0.28224	0.31836	0.37938	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.235	0.24438	0.30742	0.27582	0.282	0.28954	0.30898	0.26612	0.26996	0.27052	0.27552	0.29732	
B	0.23592	0.27668	0.32948	0.26454	0.29948	0.2751	0.3269	0.29148	0.26108	0.28842	0.26478	0.2783	
C	0.25128	0.24302	0.30988	0.2846	0.29538	0.28224	0.33312	0.28028	0.2568	0.2962	0.28368	0.31122	
D	0.23902	0.26916	0.31822	0.26186	0.31032	0.27342	0.34046	0.27936	0.26468	0.2956	0.28482	0.30784	
E	0.31574	0.3097	0.42024	0.28608	0.38682	0.32618	0.45356	0.31928	0.3469	0.30352	0.35268	0.46	
F	0.31694	0.3503	0.40546	0.27388	0.37154	0.33	0.46066	0.29692	0.31888	0.27574	0.34172	0.42982	
G	0.3062	0.31862	0.42606	0.29032	0.38116	0.29688	0.45766	0.29556	0.35578	0.32296	0.34418	0.42746	
H	0.3117	0.3552	0.41162	0.27354	0.39936	0.33212	0.43276	0.3279	0.32452	0.28362	0.33076	0.42112	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2352	0.2458	0.32182	0.27666	0.28704	0.29222	0.32262	0.2695	0.26946	0.27158	0.27766	0.30444	
B	0.23698	0.28578	0.35872	0.26938	0.32676	0.2809	0.34896	0.2951	0.2617	0.28934	0.26636	0.28508	
C	0.24998	0.24348	0.3243	0.28724	0.29926	0.2864	0.35256	0.28388	0.2565	0.29542	0.2841	0.3157	
D	0.23806	0.27292	0.33512	0.26168	0.31552	0.2771	0.36266	0.28318	0.26472	0.2965	0.28696	0.31426	
E	0.33298	0.34338	0.43424	0.28878	0.4172	0.33614	0.49058	0.32392	0.36526	0.30776	0.36908	0.49614	
F	0.33384	0.38268	0.41458	0.27886	0.40184	0.347	0.49016	0.30346	0.33474	0.27838	0.35428	0.46788	
G	0.32632	0.35144	0.4294	0.28874	0.41494	0.30848	0.49004	0.30252	0.37212	0.32238	0.3597	0.4688	
H	0.33252	0.38282	0.43742	0.28006	0.42748	0.34818	0.4611	0.33136	0.34106	0.28978	0.34326	0.46538	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23572	0.2461	0.3394	0.27944	0.29748	0.29424	0.34162	0.27158	0.27194	0.27256	0.27628	0.31072	
B	0.2376	0.29088	0.37606	0.26744	0.34382	0.28624	0.37778	0.2971	0.26084	0.28848	0.26496	0.28952	
C	0.24906	0.24644	0.34226	0.28672	0.3117	0.28538	0.36666	0.28358	0.25494	0.29514	0.28334	0.32832	
D	0.23862	0.27652	0.35454	0.2633	0.32982	0.27878	0.38132	0.28486	0.26396	0.29872	0.28746	0.32184	
E	0.34638	0.3722	0.48454	0.29102	0.44296	0.351	0.51878	0.3336	0.38534	0.30966	0.38856	0.52524	
F	0.3478	0.40272	0.4498	0.27874	0.43496	0.3614	0.54358	0.3099	0.35474	0.2799	0.37102	0.50216	
G	0.34048	0.38206	0.48918	0.29808	0.44518	0.32798	0.562	0.31348	0.39222	0.32676	0.3805	0.49808	
H	0.3469	0.42088	0.4634	0.29318	0.45312	0.37526	0.5131	0.33762	0.36096	0.29118	0.3628	0.49488	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.23394	0.24604	0.35926	0.27936	0.30806	0.29674	0.35694	0.2708	0.26818	0.26822	0.27406	0.3214	
B	0.2365	0.29456	0.40598	0.26864	0.36092	0.29584	0.40672	0.30092	0.26104	0.28944	0.2654	0.29812	
C	0.24976	0.24932	0.36094	0.28858	0.32474	0.28678	0.39238	0.2866	0.25648	0.2964	0.28502	0.34336	
D	0.23736	0.27746	0.37862	0.2626	0.34142	0.28472	0.40734	0.28614	0.26428	0.2959	0.28604	0.3311	
E	0.3555	0.42236	0.52386	0.30026	0.46196	0.39104	0.56332	0.34614	0.40354	0.31316	0.4083	0.54278	
F	0.35958	0.46874	0.48422	0.27952	0.45794	0.39272	0.58574	0.32008	0.37196	0.28938	0.3902	0.52916	
G	0.35594	0.4133	0.51524	0.28836	0.46456	0.34568	0.5924	0.32766	0.41236	0.3292	0.39892	0.52154	
