<>	1	2	3	4	5	6	7	8	9	10	11	12	
E	0.3773	0.33256	0.37078	0.34052	0.10736	0.1079	0.10806	0.10762	0.10712	0.10842	0.10944	0.10506	
F	0.3659	0.33114	0.35578	0.34624	0.11042	0.10976	0.1068	0.10766	0.10636	0.11164	0.10736	0.10584	
G	0.36372	0.35546	0.37752	0.35624	0.11992	0.11548	0.11628	0.12144	0.113	0.1093	0.1081	0.10494	
H	0.37608	0.3553	0.35378	0.37894	0.1058	0.1097	0.10594	0.10724	0.10758	0.11058	0.1082	0.10838	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.48426	0.48616	0.44944	0.4923	0.10686	0.11	0.10602	0.10776	0.10666	0.108	0.10658	0.10514	
B	0.4685	0.48408	0.45574	0.48582	0.10806	0.1072	0.10882	0.10828	0.1067	0.1101	0.10438	0.10682	
C	0.46856	0.47338	0.46098	0.48218	0.10882	0.11018	0.10662	0.10606	0.10718	0.11226	0.10598	0.10866	
D	0.47612	0.47852	0.4823	0.50206	0.10854	0.10792	0.10428	0.10666	0.1052	0.11096	0.10594	0.10498	
E	0.3944	0.35026	0.38544	0.35912	0.10696	0.10766	0.1076	0.10722	0.10682	0.10804	0.10908	0.1047	
F	0.38652	0.3517	0.3724	0.36374	0.11016	0.10942	0.10654	0.10724	0.10614	0.1112	0.10692	0.10548	
G	0.38172	0.37206	0.39118	0.3732	0.11968	0.11526	0.11586	0.12082	0.11252	0.10884	0.10772	0.10472	
H	0.3962	0.37332	0.36936	0.39902	0.1054	0.10962	0.10578	0.107	0.10716	0.11032	0.10792	0.10796	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.52656	0.53356	0.48606	0.53956	0.10696	0.10996	0.10586	0.10762	0.1066	0.10786	0.1067	0.10506	
B	0.51006	0.52808	0.51936	0.52306	0.1079	0.10716	0.10864	0.1082	0.10678	0.10996	0.10436	0.10692	
C	0.51138	0.5205	0.50686	0.53238	0.10898	0.11016	0.10682	0.10616	0.10708	0.11222	0.10596	0.10858	
D	0.52022	0.52852	0.53052	0.54966	0.1086	0.10796	0.10426	0.10666	0.10526	0.11086	0.10596	0.10496	
E	0.4126	0.36968	0.40736	0.38154	0.10686	0.1075	0.10768	0.10724	0.10692	0.10796	0.10898	0.10472	
F	0.40582	0.36876	0.39244	0.38436	0.11008	0.10946	0.10652	0.10714	0.10622	0.11112	0.10692	0.10546	
G	0.40472	0.39322	0.41362	0.39448	0.1196	0.11508	0.11594	0.12088	0.11272	0.10872	0.10762	0.10454	
H	0.4197	0.39496	0.39254	0.42024	0.10554	0.10938	0.10568	0.10672	0.10724	0.11014	0.1079	0.108	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.57456	0.59316	0.53534	0.59224	0.10694	0.11	0.10596	0.10784	0.1067	0.10804	0.10658	0.10522	
B	0.56382	0.58402	0.56746	0.58346	0.10814	0.1072	0.10862	0.10826	0.10678	0.10988	0.1044	0.10694	
C	0.5689	0.5808	0.56372	0.5856	0.10904	0.11024	0.10692	0.1062	0.1072	0.11232	0.10606	0.10868	
D	0.57372	0.57246	0.5925	0.61212	0.10866	0.10804	0.10438	0.10678	0.10544	0.11098	0.1061	0.10506	
E	0.43574	0.39294	0.43084	0.4079	0.10708	0.10774	0.10786	0.10744	0.107	0.10834	0.10902	0.10484	
F	0.43102	0.39342	0.42088	0.4089	0.11036	0.10968	0.10658	0.10744	0.10628	0.1114	0.10714	0.10568	
G	0.42744	0.41658	0.43618	0.42024	0.1196	0.11522	0.11586	0.1209	0.11262	0.10884	0.10764	0.10458	
H	0.44044	0.41456	0.41536	0.4397	0.10558	0.10944	0.10566	0.1069	0.1074	0.11032	0.10788	0.10798	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.63642	0.6508	0.5921	0.65172	0.10732	0.11022	0.10626	0.10786	0.1069	0.10816	0.10696	0.1054	
B	0.62554	0.64152	0.62844	0.64452	0.10816	0.1074	0.10888	0.1086	0.10692	0.11006	0.1046	0.10714	
C	0.62192	0.64774	0.60208	0.65238	0.10934	0.11046	0.10718	0.10636	0.10742	0.11232	0.10624	0.10898	
D	0.64214	0.63152	0.65288	0.66936	0.1089	0.10818	0.10448	0.1069	0.10552	0.1112	0.10622	0.10532	
E	0.45908	0.41216	0.45454	0.42854	0.10742	0.10808	0.10804	0.10774	0.10728	0.10836	0.10946	0.10514	
F	0.45192	0.4163	0.44532	0.43376	0.11046	0.10984	0.1068	0.10762	0.10648	0.11162	0.10732	0.1059	
G	0.45374	0.4391	0.46194	0.45204	0.1199	0.11536	0.11598	0.121	0.11298	0.10906	0.10794	0.10484	
H	0.46964	0.44004	0.43772	0.46508	0.10598	0.10974	0.10608	0.10716	0.10766	0.11062	0.10822	0.10832	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.7076	0.69978	0.64944	0.72366	0.1071	0.11012	0.10592	0.1078	0.10676	0.10812	0.1069	0.10528	
B	0.70084	0.70822	0.70016	0.7141	0.10804	0.10724	0.10886	0.10834	0.10682	0.10996	0.10446	0.10706	
C	0.7005	0.71204	0.66542	0.72568	0.10918	0.1103	0.10692	0.10624	0.1072	0.1123	0.10612	0.10878	
D	0.71096	0.7006	0.73486	0.7564	0.10876	0.10792	0.10422	0.10664	0.10548	0.1111	0.10622	0.1052	
E	0.48528	0.43828	0.48352	0.4581	0.10724	0.1077	0.1079	0.10736	0.10702	0.10826	0.10928	0.1049	
F	0.47866	0.4433	0.4726	0.46	0.11018	0.10952	0.1066	0.1074	0.10638	0.11126	0.10718	0.10562	
G	0.48096	0.46642	0.48944	0.48356	0.11968	0.11526	0.11598	0.1209	0.11274	0.10888	0.10776	0.10464	
H	0.49854	0.46658	0.46622	0.4936	0.10586	0.10966	0.1059	0.10704	0.10762	0.1103	0.10812	0.10806	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.79592	0.77308	0.7221	0.81308	0.1069	0.11002	0.10578	0.10752	0.1065	0.10782	0.10658	0.105	
B	0.80678	0.80338	0.78432	0.79562	0.10788	0.10708	0.10862	0.10812	0.10658	0.10956	0.10438	0.10682	
C	0.78172	0.80486	0.73716	0.81884	0.10898	0.11026	0.10674	0.10602	0.10694	0.112	0.10594	0.10854	
D	0.80234	0.79622	0.82324	0.8279	0.10864	0.1079	0.10412	0.10654	0.1052	0.1108	0.10586	0.10488	
E	0.51342	0.4655	0.5201	0.49	0.10698	0.1075	0.10764	0.10734	0.10688	0.10818	0.10906	0.1048	
F	0.50912	0.47238	0.5046	0.49286	0.11012	0.10954	0.1065	0.10732	0.10606	0.11126	0.10704	0.10554	
G	0.51232	0.49746	0.52464	0.51882	0.11948	0.11508	0.11572	0.1207	0.11246	0.1087	0.10758	0.1046	
H	0.53178	0.49622	0.4939	0.52468	0.10578	0.10966	0.10582	0.10708	0.10734	0.11026	0.108	0.10804	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.91262	0.81922	0.80624	0.94702	0.10702	0.11006	0.10594	0.10766	0.10666	0.10788	0.10678	0.10524	
B	0.97512	0.9249	0.89912	0.886	0.10818	0.10738	0.10888	0.10834	0.1068	0.10976	0.10454	0.10686	
C	0.88798	0.93606	0.82364	0.94308	0.10922	0.11038	0.10696	0.10636	0.10712	0.11212	0.10616	0.10868	
D	0.95596	0.9258	0.9263	0.97422	0.10888	0.10812	0.1044	0.10684	0.10544	0.11112	0.10618	0.1052	
E	0.5432	0.49392	0.55188	0.51988	0.10714	0.1077	0.10764	0.1073	0.10696	0.10822	0.10912	0.10486	
F	0.53876	0.50192	0.53508	0.52644	0.11028	0.10954	0.10664	0.10728	0.10636	0.11134	0.10706	0.10556	
G	0.55164	0.53126	0.55894	0.55542	0.1194	0.11514	0.11572	0.12076	0.1125	0.10878	0.10764	0.1046	
H	0.57142	0.5266	0.52346	0.5556	0.10576	0.10954	0.10582	0.10718	0.1075	0.11022	0.10788	0.10792	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	1.0688	0.96506	0.9389	1.073	0.10676	0.10986	0.10566	0.10736	0.10646	0.10774	0.10656	0.1051	
